anime_id,name,genre,type,episodes,rating,members,episode_class
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,1
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,1
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,3
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,1
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,1
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,1
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,3
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,1
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,1
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,1
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,1
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,1
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,1
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.50,509109,1
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.50,225927,1
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.50,38531,3
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.50,245026,1
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.50,390076,1
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.50,185015,1
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,1
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,1
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,1
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,1
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,3
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,3
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,1
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,1
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,1
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,1
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,2
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,4
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,1
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,1
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,1
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,1
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,1
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,3
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,1
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,1
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,4
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,1
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,1
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,1
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,1
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,1
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,1
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,1
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.40,148328,1
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.40,226430,1
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.40,29528,1
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.40,291228,1
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.40,32188,2
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.40,380375,1
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,1
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,1
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641,1
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,1
